"Municipio";"Populacao_residente"
"210710 MORROS";18994
"210720 NINA RODRIGUES";14551
"210725 NOVA COLINAS";5144
"210730 NOVA IORQUE";4412
"210735 NOVA OLINDA DO MARANHAO";14468
"210740 OLHO D'AGUA DAS CUNHAS";18295
"210745 OLINDA NOVA DO MARANHAO";13909
"210750 PACO DO LUMIAR";152306
"210760 PALMEIRANDIA";21606
"210770 PARAIBANO";18619
"210780 PARNARAMA";32256
"210790 PASSAGEM FRANCA";17592
"210800 PASTOS BONS";19246
"210805 PAULINO NEVES";17523
"210810 PAULO RAMOS";20792
"210820 PEDREIRAS";38267
"210825 PEDRO DO ROSARIO";24917
"210830 PENALVA";33534
"210840 PERI MIRIM";11277
"210845 PERITORO";20910
"210850 PINDARE-MIRIM";32521
"210860 PINHEIRO";87919
"210870 PIO XII";22369
"210880 PIRAPEMAS";18120
"210890 POCAO DE PEDRAS";17444
"210900 PORTO FRANCO";24517
"210905 PORTO RICO DO MARANHAO";6091
"210910 PRESIDENTE DUTRA";46578
"210920 PRESIDENTE JUSCELINO";11616
"210923 PRESIDENTE MEDICI";4748
"210927 PRESIDENTE SARNEY";17913
"210930 PRESIDENTE VARGAS";10791
"210940 PRIMEIRA CRUZ";13922
"210945 RAPOSA";32054
"210950 RIACHAO";22699
"210955 RIBAMAR FIQUENE";7597
"210960 ROSARIO";39763
"210970 SAMBAIBA";5701
"210975 SANTA FILOMENA DO MARANHAO";6839
"210980 SANTA HELENA";43112
"210990 SANTA INES";88167
"211000 SANTA LUZIA";59037
"211003 SANTA LUZIA DO PARUA";24870
"211010 SANTA QUITERIA DO MARANHAO";24489
"211020 SANTA RITA";38446
"211023 SANTANA DO MARANHAO";10777
"211027 SANTO AMARO DO MARANHAO";14280
"211030 SANTO ANTONIO DOS LOPES";14623
"211040 SAO BENEDITO DO RIO PRETO";18793
"211050 SAO BENTO";48036
"211060 SAO BERNARDO";27887
"211065 SAO DOMINGOS DO AZEITAO";8213
"211070 SAO DOMINGOS DO MARANHAO";35221
"211080 SAO FELIX DE BALSAS";4495
"211085 SAO FRANCISCO DO BREJAO";9222
"211090 SAO FRANCISCO DO MARANHAO";12353
"211100 SAO JOAO BATISTA";18909
"211102 SAO JOAO DO CARU";12421
"211105 SAO JOAO DO PARAISO";10105
"211107 SAO JOAO DO SOTER";17254
"211110 SAO JOAO DOS PATOS";25891
"211120 SAO JOSE DE RIBAMAR";257414
"211125 SAO JOSE DOS BASILIOS";7102
"211130 SAO LUIS";1088057
"211140 SAO LUIS GONZAGA DO MARANHAO";18153
"211150 SAO MATEUS DO MARANHAO";40160
"211153 SAO PEDRO DA AGUA BRANCA";14736
"211157 SAO PEDRO DOS CRENTES";5965
"211160 SAO RAIMUNDO DAS MANGABEIRAS";19129
"211163 SAO RAIMUNDO DO DOCA BEZERRA";5767
"211167 SAO ROBERTO";4602
"211170 SAO VICENTE FERRER";19885
"211172 SATUBINHA";8880
"211174 SENADOR ALEXANDRE COSTA";10445
"211176 SENADOR LA ROCQUE";15035
"211178 SERRANO DO MARANHAO";10461
"211180 SITIO NOVO";17457
"211190 SUCUPIRA DO NORTE";10471
"211195 SUCUPIRA DO RIACHAO";5088
"211200 TASSO FRAGOSO";9106
"211210 TIMBIRAS";27344
"211220 TIMON";182241
"211223 TRIZIDELA DO VALE";23052
"211227 TUFILANDIA";5633
"211230 TUNTUM";37401
"211240 TURIACU";38905
"211245 TURILANDIA";33032
"211250 TUTOIA";55041
"211260 URBANO SANTOS";34060
"211270 VARGEM GRANDE";44540
"211280 VIANA";53115
"211285 VILA NOVA DOS MARTIRIOS";10575
"211290 VITORIA DO MEARIM";31851
"211300 VITORINO FREIRE";31906
"211400 ZE DOCA";41943
"220005 ACAUA";6515
"220010 AGRICOLANDIA";5023
"220020 AGUA BRANCA";18033
"220025 ALAGOINHA DO PIAUI";6901
"220027 ALEGRETE DO PIAUI";4713
"220030 ALTO LONGA";13734
"220040 ALTOS";49637
"220045 ALVORADA DO GURGUEIA";5459
"220050 AMARANTE";17577
"220060 ANGICAL DO PIAUI";6982
"220070 ANISIO DE ABREU";9631
"220080 ANTONIO ALMEIDA";3228
"220090 AROAZES";5433
"220095 AROEIRAS DO ITAIM";2766
"220100 ARRAIAL";4593
"220105 ASSUNCAO DO PIAUI";7597
"220110 AVELINO LOPES";11106
"220115 BAIXA GRANDE DO RIBEIRO";13838
"220117 BARRA D'ALCANTARA";4091
"220120 BARRAS";49533
"220130 BARREIRAS DO PIAUI";3334
"220140 BARRO DURO";6744
"220150 BATALHA";27123
"220155 BELA VISTA DO PIAUI";4208
"220157 BELEM DO PIAUI";3508
"220160 BENEDITINOS";10104
"220170 BERTOLINIA";5701
"220173 BETANIA DO PIAUI";6368
"220177 BOA HORA";7108
"220180 BOCAINA";4131
"220190 BOM JESUS";30321
"220191 BOM PRINCIPIO DO PIAUI";5786
"220192 BONFIM DO PIAUI";6089
"220194 BOQUEIRAO DO PIAUI";6728
"220196 BRASILEIRA";8658
"220198 BREJO DO PIAUI";3969
"220200 BURITI DOS LOPES";20096
"220202 BURITI DOS MONTES";7538
"220205 CABECEIRAS DO PIAUI";10449
"220207 CAJAZEIRAS DO PIAUI";3146
"220208 CAJUEIRO DA PRAIA";8203
"220209 CALDEIRAO GRANDE DO PIAUI";5605
"220210 CAMPINAS DO PIAUI";4988
"220211 CAMPO ALEGRE DO FIDALGO";4701
"220213 CAMPO GRANDE DO PIAUI";6188
"220217 CAMPO LARGO DO PIAUI";7636
"220220 CAMPO MAIOR";47074
"220225 CANAVIEIRA";3429
"220230 CANTO DO BURITI";19669
"220240 CAPITAO DE CAMPOS";11347
"220245 CAPITAO GERVASIO OLIVEIRA";4065
"220250 CARACOL";10538
"220253 CARAUBAS DO PIAUI";5755
"220255 CARIDADE DO PIAUI";5162
"220260 CASTELO DO PIAUI";19663
"220265 CAXINGO";5657
"220270 COCAL";29209
"220271 COCAL DE TELHA";5034
"220272 COCAL DOS ALVES";6569
"220273 COIVARAS";4233
"220275 COLONIA DO GURGUEIA";6287
"220277 COLONIA DO PIAUI";7088
"220280 CONCEICAO DO CANINDE";5063
"220285 CORONEL JOSE DIAS";4305
"220290 CORRENTE";28275
"220300 CRISTALANDIA DO PIAUI";7454
"220310 CRISTINO CASTRO";10772
"220320 CURIMATA";11552
"220323 CURRAIS";4968
"220325 CURRALINHOS";4527
"220327 CURRAL NOVO DO PIAUI";5185
"220330 DEMERVAL LOBAO";16998
"220335 DIRCEU ARCOVERDE";7238
"220340 DOM EXPEDITO LOPES";6421
"220342 DOMINGOS MOURAO";4138
"220345 DOM INOCENCIO";9335
"220350 ELESBAO VELOSO";13786
"220360 ELISEU MARTINS";4435
"220370 ESPERANTINA";42510
"220375 FARTURA DO PIAUI";5414
"220380 FLORES DO PIAUI";4508
"220385 FLORESTA DO PIAUI";2364
"220390 FLORIANO";64150
"220400 FRANCINOPOLIS";4517
"220410 FRANCISCO AYRES";4494
"220415 FRANCISCO MACEDO";2986
"220420 FRANCISCO SANTOS";8366
"220430 FRONTEIRAS";10382
"220435 GEMINIANO";5587
"220440 GILBUES";11166
"220450 GUADALUPE";10478
"220455 GUARIBAS";4350
"220460 HUGO NAPOLEAO";3562
"220465 ILHA GRANDE";9501
"220470 INHUMA";15259
"220480 IPIRANGA DO PIAUI";9620
"220490 ISAIAS COELHO";7886
"220500 ITAINOPOLIS";10980
"220510 ITAUEIRA";10493
"220515 JACOBINA DO PIAUI";5715
"220520 JAICOS";17811
